iter	Passed	Remaining
829	13055	2674
830	13070	2658
831	13085	2642
832	13100	2626
833	13116	2610
834	13134	2595
835	13152	2580
836	13168	2564
837	13187	2549
838	13203	2533
839	13218	2517
840	13232	2501
841	13246	2485
842	13261	2469
843	13277	2454
844	13293	2438
845	13307	2422
846	13321	2406
847	13335	2390
848	13349	2374
849	13364	2358
850	13383	2343
851	13398	2327
852	13412	2311
853	13427	2295
854	13440	2279
855	13456	2263
856	13471	2247
857	13485	2231
858	13500	2215
859	13514	2200
860	13530	2184
861	13546	2168
862	13562	2153
863	13578	2137
864	13594	2121
865	13612	2106
866	13628	2090
867	13644	2074
868	13658	2059
869	13672	2042
870	13686	2027
871	13699	2010
872	13714	1995
873	13727	1979
874	13743	1963
875	13757	1947
876	13770	1931
877	13785	1915
878	13801	1899
879	13816	1884
880	13833	1868
881	13846	1852
882	13861	1836
883	13877	1820
884	13890	1804
885	13902	1788
886	13917	1773
887	13931	1757
888	13946	1741
889	13960	1725
890	13974	1709
891	13986	1693
892	14004	1678
893	14018	1662
894	14031	1646
895	14045	1630
896	14058	1614
897	14070	1598
898	14085	1582
899	14099	1566
900	14114	1550
901	14127	1534
902	14139	1518
903	14156	1503
904	14172	1487
905	14185	1471
906	14200	1456
907	14216	1440
908	14229	1424
909	14243	1408
910	14257	1392
911	14271	1377
912	14287	1361
913	14301	1345
914	14314	1329
915	14328	1313
916	14344	1298
917	14362	1282
918	14378	1267
919	14392	1251
920	14407	1235
921	14422	1220
922	14439	1204
923	14454	1188
924	14469	1173
925	14487	1157
926	14505	1142
927	14522	1126
928	14537	1111
929	14552	1095
930	14567	1079
931	14582	1063
932	14601	1048
933	14614	1032
934	14628	1016
935	14644	1001
936	14659	985
937	14675	970
938	14690	954
939	14704	938
940	14719	922
941	14733	907
942	14747	891
943	14759	875
944	14772	859
945	14792	844
946	14807	828
947	14821	812
948	14835	797
949	14851	781
950	14865	765
951	14880	750
952	14895	734
953	14911	718
954	14926	703
955	14943	687
956	14959	672
957	14975	656
958	14993	641
959	15012	625
960	15027	609
961	15045	594
962	15061	578
963	15077	563
964	15093	547
965	15110	531
966	15127	516
967	15142	500
968	15160	485
969	15177	469
970	15195	453
971	15211	438
972	15226	422
973	15241	406
974	15256	391
975	15271	375
976	15286	359
977	15299	344
978	15312	328
979	15326	312
980	15339	297
981	15352	281
982	15365	265
983	15379	250
984	15394	234
985	15412	218
986	15429	203
987	15447	187
988	15462	171
989	15481	156
990	15495	140
991	15512	125
992	15526	109
993	15541	93
994	15556	78
995	15571	62
996	15588	46
997	15605	31
998	15625	15
999	15641	0
